duAn,huong,phapLy,noBed,soLau,Precinct,District,acreage_value,noBathroom
KĐT Cổ Nhuế,,,3.0,,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,117.0,2.0
,,,3.0,14.0,Phường La Khê,Quận Hà Đông,91.0,-1.0
The Zei Mỹ Đình,,,2.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,92.0,2.0
VP5 Linh Đàm,,,2.0,,,Quận Hoàng Mai,61.0,-1.0
VP5 Linh Đàm,,,1.0,,Phường Hoàng Liệt,Quận Hoàng Mai,45.0,2.0
,,,3.0,,Phường Việt Hưng,Quận Long Biên,113.0,-1.0
Mỹ Đình Plaza 2,,,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,105.0,2.0
Vinhomes Green Bay Mễ Trì,,,2.0,,Phường Mễ Trì,Quận Nam Từ Liêm,69.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Dịch Vọng Hậu,Quận Cầu Giấy,38.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,3.0,Phường Quỳnh Mai,Quận Hai Bà Trưng,65.0,-1.0
,,,3.0,7.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,115.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,16.0,Phường Ô Chợ Dừa,Quận Đống Đa,65.0,-1.0
Roman Plaza,,,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,81.0,2.0
M3 - M4 Nguyễn Chí Thanh,,,3.0,,Phường Láng Hạ,Quận Đống Đa,117.0,2.0
FLC Garden City,,,2.0,,Phường Đại Mỗ,Quận Nam Từ Liêm,65.0,2.0
Trung Hòa Nhân Chính,,,3.0,,Phường Trung Hòa,Quận Cầu Giấy,122.0,3.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,18.0,Phường Quang Trung,Quận Hà Đông,112.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,3.0,,Quận Nam Từ Liêm,80.0,-1.0
D’. Le Pont D’or Hoàng Cầu,,,2.0,,Phường Ô Chợ Dừa,Quận Đống Đa,105.0,-1.0
,,Giấy tờ hợp lệ,3.0,1.0,Phường Đông Ngạc,Quận Bắc Từ Liêm,100.0,-1.0
Vinhomes D'Capitale,,,1.0,,Phường Trung Hòa,Quận Cầu Giấy,38.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,13.0,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,76.0,-1.0
The Zurich,,,2.0,,Xã Đa Tốn,Huyện Gia Lâm,59.0,-1.0
Green Stars,,,2.0,,,Quận Bắc Từ Liêm,66.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Thanh Nhàn,Quận Hai Bà Trưng,60.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,8.0,Phường Phú Diễn,Quận Bắc Từ Liêm,85.0,-1.0
Vinhomes Smart City,,,1.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,46.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,15.0,Xã Tân Triều,Huyện Thanh Trì,55.0,-1.0
Oriental Westlake,,,2.0,,Phường Bưởi,Quận Tây Hồ,76.0,2.0
Times City,Bắc,,2.0,,Phường Vĩnh Tuy,Quận Hai Bà Trưng,79.0,2.0
Hà Nội Melody Residences,,,2.0,,,Quận Hoàng Mai,88.0,2.0
Sunshine City,,,3.0,,Phường Đông Ngạc,Quận Bắc Từ Liêm,99.0,2.0
Sunrise Garden (Bình Minh Garden),,,3.0,,Phường Đức Giang,Quận Long Biên,95.0,-1.0
The Sapphire-Vinhomes Smart City,Tây,,2.0,,,Quận Nam Từ Liêm,48.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Đại Kim,Quận Hoàng Mai,105.0,-1.0
An Bình Plaza,,,2.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,83.0,2.0
,Tây Nam,Giấy chứng nhận quyền sở hữu đất,2.0,3.0,Phường Láng Thượng,Quận Đống Đa,60.0,-1.0
Berriver Jardin,,,2.0,,Phường Bồ Đề,Quận Long Biên,64.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,5.0,Phường La Khê,Quận Hà Đông,119.0,-1.0
,,,2.0,15.0,Phường Mộ Lao,Quận Hà Đông,65.0,-1.0
Xuân Mai Complex,,,2.0,,Phường Yên Nghĩa,Quận Hà Đông,65.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,4.0,1.0,Phường Dương Nội,Quận Hà Đông,96.0,-1.0
Phương Đông Green Park,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,82.0,-1.0
HPC Landmark 105,Bắc,,3.0,,Phường La Khê,Quận Hà Đông,125.0,2.0
Xuân Mai Sparks Tower,,,2.0,,,Quận Hà Đông,55.0,1.0
Thăng Long Number One,,,3.0,,Phường Trung Hòa,Quận Cầu Giấy,116.0,2.0
Pandora 53 Triều Khúc,,,2.0,,Phường Thanh Xuân Nam,Quận Thanh Xuân,83.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,73.0,-1.0
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,4.0,10.0,Phường Đại Kim,Quận Hoàng Mai,124.0,-1.0
,,,3.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,80.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,10.0,Phường Đại Kim,Quận Hoàng Mai,113.0,-1.0
K35 Tân Mai,,,3.0,,,Quận Hoàng Mai,122.0,-1.0
Thành Phố Giao Lưu,Nam,,2.0,,,Quận Bắc Từ Liêm,70.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,4.0,Phường Thanh Xuân Nam,Quận Thanh Xuân,70.0,-1.0
,,,3.0,3.0,Phường Vĩnh Hưng,Quận Hoàng Mai,114.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Láng Thượng,Quận Đống Đa,67.0,-1.0
,,Giấy tờ hợp lệ,2.0,1.0,Phường Khương Thượng,Quận Đống Đa,50.0,-1.0
Imperia Garden,,,2.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,75.0,2.0
Pandora 53 Triều Khúc,,,2.0,,Phường Thanh Xuân Nam,Quận Thanh Xuân,82.0,2.0
Vinhomes D'Capitale,,,1.0,,Phường Trung Hòa,Quận Cầu Giấy,38.0,1.0
The Pride,,,3.0,,Phường La Khê,Quận Hà Đông,75.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Phúc Đồng,Quận Long Biên,80.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Đại Kim,Quận Hoàng Mai,66.0,-1.0
,,,2.0,,Phường Dịch Vọng,Quận Cầu Giấy,60.0,1.0
The Park Home,,,2.0,,Phường Dịch Vọng,Quận Cầu Giấy,80.0,2.0
Vinhomes Ocean Park,,,3.0,,Xã Dương Xá,Huyện Gia Lâm,82.0,-1.0
,,,2.0,8.0,Phường Đại Kim,Quận Hoàng Mai,80.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,3.0,Phường Bách Khoa,Quận Hai Bà Trưng,86.0,-1.0
Bea Sky,,,2.0,,Phường Đại Kim,Quận Hoàng Mai,62.0,2.0
,,Giấy tờ hợp lệ,3.0,,Xã Tả Thanh Oai,Huyện Thanh Trì,77.0,-1.0
Imperia Sky Garden,,,3.0,,Phường Vĩnh Tuy,Quận Hai Bà Trưng,105.0,2.0
,,,3.0,,Phường Trung Hòa,Quận Cầu Giấy,120.0,2.0
Hồ Gươm Plaza,,,2.0,,Phường Mỗ Lao,Quận Hà Đông,90.0,-1.0
,,,2.0,4.0,Phường Tương Mai,Quận Hoàng Mai,88.0,-1.0
Sunshine Riverside,,,2.0,,Phường Phú Thượng,Quận Tây Hồ,61.0,2.0
,,,2.0,29.0,Phường Đại Kim,Quận Hoàng Mai,84.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,16.0,Phường Phú La,Quận Hà Đông,100.0,-1.0
,,,2.0,,Phường Hàng Bột,Quận Đống Đa,80.0,-1.0
Summit Building,,,2.0,,Phường Trung Hòa,Quận Cầu Giấy,86.0,2.0
The Golden Palm Lê Văn Lương,,,3.0,,Phường Nhân Chính,Quận Thanh Xuân,124.0,-1.0
,,,3.0,,Phường Cống Vị,Quận Ba Đình,95.0,2.0
KĐTM Cầu Bươu,,,3.0,,Xã Tân Triều,Huyện Thanh Trì,128.0,2.0
,,,2.0,,Phường Xuân Tảo,Quận Bắc Từ Liêm,87.0,-1.0
ĐTM Dịch Vọng,,,2.0,,Phường Dịch Vọng,Quận Cầu Giấy,96.0,2.0
,,,3.0,,Phường Dịch Vọng,Quận Cầu Giấy,147.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,11.0,Phường Láng Hạ,Quận Đống Đa,150.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,75.0,-1.0
Chung cư The Wisteria,,,3.0,,,Huyện Hoài Đức,100.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,8.0,Phường Trung Hòa,Quận Cầu Giấy,75.0,-1.0
Vinaconex 7 - 34 Cầu Diễn,,,3.0,,,Quận Nam Từ Liêm,95.0,2.0
The Sakura - Vinhomes Smart City,,,3.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,82.0,2.0
Masteri West Heights,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,64.0,-1.0
Chung cư The Wisteria,,,2.0,,Xã Di Trạch,Huyện Hoài Đức,83.0,2.0
Phenikaa Hòa Lạc,,,2.0,,Xã Thạch Hòa,Huyện Thạch Thất,57.0,1.0
Sông Đà 7,,,3.0,,Phường Trung Hòa,Quận Cầu Giấy,135.0,2.0
ĐTM Dịch Vọng,,,2.0,,Phường Dịch Vọng,Quận Cầu Giấy,90.0,2.0
Vinhomes West Point,,,2.0,,Phường Mễ Trì,Quận Nam Từ Liêm,68.0,2.0
KĐT Xa La,,,2.0,,Phường Phúc La,Quận Hà Đông,68.0,2.0
,,,2.0,1.0,Phường Mỹ Đình 1,Quận Nam Từ Liêm,50.0,-1.0
Imperia Sky Garden,,,3.0,,Phường Vĩnh Tuy,Quận Hai Bà Trưng,103.0,2.0
Handico Complex,,,2.0,,Phường Nhân Chính,Quận Thanh Xuân,74.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,8.0,Phường Quang Trung,Quận Hà Đông,114.0,-1.0
,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Phú Thượng,Quận Tây Hồ,123.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,5.0,Phường Thịnh Quang,Quận Đống Đa,36.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Thượng Đình,Quận Thanh Xuân,65.0,-1.0
,,,2.0,,Phường Sài Đồng,Quận Long Biên,72.0,2.0
93 Lò Đúc - Kinh Đô Tower,Tây,,2.0,,Phường Phạm Đình Hổ,Quận Hai Bà Trưng,98.0,2.0
Goldmark City,,,2.0,,Phường Phú Diễn,Quận Bắc Từ Liêm,83.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,10.0,Phường Thịnh Liệt,Quận Hoàng Mai,90.0,-1.0
HH4 Linh Đàm,,,2.0,,,Quận Hoàng Mai,58.0,2.0
GoldSilk Complex,,,3.0,,Phường Vạn Phúc,Quận Hà Đông,130.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,3.0,Phường Láng Hạ,Quận Đống Đa,78.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Văn Quán,Quận Hà Đông,130.0,-1.0
Eco Green City,,,2.0,,Xã Tân Triều,Huyện Thanh Trì,75.0,2.0
Golden Land,,,3.0,,,Quận Thanh Xuân,130.0,2.0
,,,1.0,1.0,Phường Yên Hòa,Quận Cầu Giấy,35.0,-1.0
Grand Sunlake,,,2.0,,Phường Văn Quán,Quận Hà Đông,101.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,4.0,1.0,Phường Đông Ngạc,Quận Bắc Từ Liêm,111.0,-1.0
Eurowindow River Park,Tây,,3.0,,Xã Đông Hội,Huyện Đông Anh,81.0,2.0
Mailand Hanoi City,,,2.0,,,Huyện Hoài Đức,109.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,11.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,85.0,-1.0
Tháp Doanh Nhân - Boss Tower,,,1.0,,Phường Mỗ Lao,Quận Hà Đông,50.0,-1.0
,,,1.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,45.0,1.0
Cầu Giấy Center Point,,,2.0,,Phường Quan Hoa,Quận Cầu Giấy,78.0,2.0
Ecohome 3,,,2.0,,Phường Đông Ngạc,Quận Bắc Từ Liêm,59.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,4.0,Phường Phương Mai,Quận Đống Đa,60.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Mai Dịch,Quận Cầu Giấy,133.0,-1.0
Eurowindow River Park,,,2.0,,Xã Đông Hội,Huyện Đông Anh,63.0,2.0
Vinhomes Smart City,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Đại Mỗ,Quận Nam Từ Liêm,54.0,-1.0
Mandarin Garden,,,3.0,,Phường Trung Hòa,Quận Cầu Giấy,114.0,-1.0
Goldmark City,,,3.0,,Phường Phú Diễn,Quận Bắc Từ Liêm,121.0,2.0
,,,3.0,,Phường Ngọc Lâm,Quận Long Biên,115.0,2.0
Kim Văn Kim Lũ,,,2.0,,Phường Đại Kim,Quận Hoàng Mai,60.0,1.0
,,,2.0,16.0,Phường Ngọc Thụy,Quận Long Biên,73.0,-1.0
Đường Phạm Hùng,,,3.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,108.0,-1.0
Eurowindow River Park,,,2.0,,Xã Đông Hội,Huyện Đông Anh,77.0,2.0
The Zei Mỹ Đình,,,3.0,,,Quận Nam Từ Liêm,92.0,2.0
Bình Minh Garden,,,3.0,,Phường Đức Giang,Quận Long Biên,93.0,2.0
,,,2.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,70.0,1.0
Mipec Rubik 360,Đông,,2.0,,Phường Dịch Vọng Hậu,Quận Cầu Giấy,77.0,2.0
The Emerald CT8 Mỹ Đình,,,3.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,110.0,-1.0
Vinhomes Smart City,,,1.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,43.0,1.0
,,,2.0,19.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,78.0,-1.0
90 Nguyễn Tuân,,,2.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,71.0,2.0
The Sparks Dương Nội,,,3.0,,Phường Dương Nội,Quận Hà Đông,117.0,-1.0
Kiến Hưng Luxury,Đông,,2.0,,,Quận Hà Đông,70.0,2.0
Việt Hưng,,,3.0,,Phường Việt Hưng,Quận Long Biên,116.0,2.0
Imperia Sola Park,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,64.0,2.0
An Bình Plaza,Nam,,2.0,,,Quận Nam Từ Liêm,55.0,2.0
Ecolife Capitol,,,3.0,,Phường Trung Văn,Quận Nam Từ Liêm,110.0,2.0
,,,2.0,,Phường Đại Kim,Quận Hoàng Mai,68.0,-1.0
Iris Garden,,,2.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,66.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Kim Mã,Quận Ba Đình,30.0,-1.0
Masteri Water Front,Đông,,1.0,,Xã Đa Tốn,Huyện Gia Lâm,30.0,1.0
KĐTM Cầu Bươu,,,3.0,,Xã Tân Triều,Huyện Thanh Trì,100.0,2.0
Momota Nguyễn Đức Cảnh,,,2.0,,Phường Tương Mai,Quận Hoàng Mai,69.0,-1.0
,,,3.0,24.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,133.0,-1.0
Khu đô thị mới Linh Đàm,,,2.0,,Phường Đại Kim,Quận Hoàng Mai,56.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,3.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,65.0,-1.0
KĐT mới Cầu Giấy,,,3.0,,Phường Yên Hòa,Quận Cầu Giấy,107.0,2.0
Eco Lake View,,,2.0,,Phường Đại Kim,Quận Hoàng Mai,76.0,2.0
KĐT Định Công,,,3.0,,,Quận Hoàng Mai,80.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,2.0,Phường Nam Đồng,Quận Đống Đa,150.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Trung Hòa,Quận Cầu Giấy,96.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,8.0,Phường Giảng Võ,Quận Ba Đình,70.0,-1.0
Tây Nam Hồ Linh Đàm,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,45.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,25.0,Xã Tân Triều,Huyện Thanh Trì,110.0,-1.0
Vinhomes Ocean Park Gia Lâm,,,3.0,,Xã Dương Xá,Huyện Gia Lâm,74.0,2.0
Xuân Mai Complex,,,3.0,,Phường Yên Nghĩa,Quận Hà Đông,80.0,-1.0
The Terra An Hưng,,,2.0,,Phường Dương Nội,Quận Hà Đông,74.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,12.0,Phường Dịch Vọng Hậu,Quận Cầu Giấy,141.0,-1.0
Chung cư Đại Thanh,,,1.0,,Xã Tả Thanh Oai,Huyện Thanh Trì,36.0,1.0
,,,2.0,,Phường Mai Dịch,Quận Cầu Giấy,55.0,1.0
Sunshine Riverside,,,2.0,,,Quận Tây Hồ,91.0,2.0
,,,2.0,29.0,Phường Cầu Diễn,Quận Nam Từ Liêm,60.0,-1.0
FLC Green Apartment,,,2.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,46.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Xuân Tảo,Quận Bắc Từ Liêm,106.0,-1.0
Roman Plaza,,,3.0,,,Quận Nam Từ Liêm,99.0,-1.0
Rivera Park Hà Nội,,,2.0,,,Quận Thanh Xuân,70.0,2.0
FLC Star Tower,,,3.0,,,Quận Hà Đông,83.0,2.0
Eco Green City,,,3.0,,,Huyện Thanh Trì,106.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Thanh Xuân Trung,Quận Thanh Xuân,86.0,-1.0
The Sapphire-Vinhomes Smart City,,,1.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,42.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,32.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,155.0,-1.0
Vinhomes Smart City,,,2.0,,,Quận Nam Từ Liêm,68.0,-1.0
Phương Đông Green Park,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,83.0,-1.0
KĐT Linh Đàm,,,3.0,,Phường Hoàng Liệt,Quận Hoàng Mai,75.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Thịnh Liệt,Quận Hoàng Mai,83.0,-1.0
Phú Thịnh Green Park,Đông,,2.0,,Phường Hà Cầu,Quận Hà Đông,90.0,2.0
Đông Đô,,,2.0,,,Quận Cầu Giấy,110.0,2.0
Sunshine Riverside,Bắc,,3.0,,Phường Phú Thượng,Quận Tây Hồ,100.0,2.0
Harmony Square,,,2.0,,Phường Nhân Chính,Quận Thanh Xuân,75.0,2.0
Masteri West Heights,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,60.0,2.0
,,,2.0,,Phường Dịch Vọng Hậu,Quận Cầu Giấy,95.0,-1.0
KĐT Xa La,,,2.0,,Phường Phúc La,Quận Hà Đông,73.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Trung Văn,Quận Nam Từ Liêm,124.0,-1.0
KĐT Văn Quán,,,2.0,,Phường Phúc La,Quận Hà Đông,80.0,2.0
Samsora Premier,,,2.0,,Phường Yết Kiêu,Quận Hà Đông,83.0,2.0
TĐC Hoàng Cầu,,,2.0,,Phường Ô Chợ Dừa,Quận Đống Đa,68.0,1.0
,,,3.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,135.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,20.0,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,102.0,-1.0
,,,2.0,5.0,Phường Giáp Bát,Quận Hoàng Mai,52.0,-1.0
The Matrix One,,,2.0,,Phường Mễ Trì,Quận Nam Từ Liêm,87.0,2.0
,,,2.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,77.0,-1.0
Bea Sky,,,2.0,,,Quận Hoàng Mai,68.0,2.0
FLC Complex Phạm Hùng,,,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,94.0,2.0
Vinhomes Ocean Park,,,3.0,,Xã Dương Xá,Huyện Gia Lâm,75.0,-1.0
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2.0,21.0,Phường Yên Hòa,Quận Cầu Giấy,57.0,-1.0
Hoàng Thành Pearl,,,2.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,81.0,2.0
Xuân Mai Riverside,,,3.0,,Phường Mỗ Lao,Quận Hà Đông,81.0,-1.0
Licogi 13 Tower,,,2.0,,,Quận Thanh Xuân,90.0,2.0
Goldmark City,,,2.0,,Phường Phú Diễn,Quận Bắc Từ Liêm,84.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Quỳnh Mai,Quận Hai Bà Trưng,70.0,-1.0
Khu đô thị Mỹ Đình Sông Đà,,,3.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,90.0,-1.0
Hoàng Thành Pearl,,,2.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,79.0,2.0
The Sakura - Vinhomes Smart City,,,3.0,,Phường Đại Mỗ,Quận Nam Từ Liêm,80.0,2.0
Ecolife Capitol,,,2.0,,Phường Trung Văn,Quận Nam Từ Liêm,74.0,2.0
PHC Complex 158 Nguyễn Sơn,,,3.0,,Phường Bồ Đề,Quận Long Biên,100.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,6.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,105.0,-1.0
Chung cư Đại Thanh,,,2.0,,Xã Tả Thanh Oai,Huyện Thanh Trì,36.0,1.0
Ao Sào,,,2.0,,Phường Thịnh Liệt,Quận Hoàng Mai,54.0,2.0
Masteri Water Front,,,3.0,,,Huyện Gia Lâm,81.0,2.0
Vinhomes Ocean Park Gia Lâm,,,2.0,,Xã Dương Xá,Huyện Gia Lâm,70.0,2.0
Bình Vượng 200 Quang Trung,,,2.0,,,Quận Hà Đông,92.0,2.0
Pháp Vân Tứ Hiệp,Đông,,3.0,,Phường Hoàng Liệt,Quận Hoàng Mai,77.0,2.0
Eco City Việt Hưng,,,2.0,,Phường Giang Biên,Quận Long Biên,73.0,2.0
Eco Green City,,,2.0,,Xã Tân Triều,Huyện Thanh Trì,75.0,2.0
The Pavilion - Vinhomes Ocean Park,,,1.0,,Xã Dương Xá,Huyện Gia Lâm,28.0,1.0
Tứ Hiệp Plaza,,,3.0,,Xã Tứ Hiệp,Huyện Thanh Trì,84.0,2.0
Eco Lake View,,,2.0,,,Quận Hoàng Mai,76.0,2.0
,,,3.0,,,Quận Thanh Xuân,116.0,2.0
Masteri Water Front,,,1.0,,Xã Đa Tốn,Huyện Gia Lâm,46.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,5.0,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,82.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,12.0,Phường Mỹ Đình 1,Quận Nam Từ Liêm,143.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,8.0,Phường Định Công,Quận Hoàng Mai,85.0,-1.0
Trung Hòa Nhân Chính,,,2.0,,,Quận Cầu Giấy,67.0,2.0
,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,61.0,2.0
Tòa nhà 197 Trần Phú,,,2.0,,Phường Văn Quán,Quận Hà Đông,72.0,2.0
Eurowindow River Park,,,2.0,,Xã Đông Hội,Huyện Đông Anh,63.0,2.0
Sun Square,,,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,90.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Nhân Chính,Quận Thanh Xuân,79.0,-1.0
