duAn,huong,phapLy,noBed,soLau,Street,Precinct,District,acreage_value,price_value,noBathroom,price_per_area
The Zenpark,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,41.0,1.9,,46.34146341463415
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,47.0,1.3,,27.659574468085108
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,32.0,0.95,,29.6875
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,47.0,1.45,,30.851063829787233
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,45.0,1.75,,38.888888888888886
The Zenpark,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,45.0,1.65,,36.666666666666664
The Pavilion,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,42.0,1.57,,37.38095238095238
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,33.0,1.13,,34.24242424242424
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,1.0,,Đường Cổ Bi,Xã Đa Tốn,Huyện Gia Lâm,28.0,1.7,,60.714285714285715
,,Giấy chứng nhận quyền sở hữu đất,1.0,,Đường Lý Thánh Tông,Xã Dương Xá,Huyện Gia Lâm,56.0,3.05,,54.464285714285715
,Tây Bắc,Giấy chứng nhận quyền sở hữu đất,1.0,30.0,Đường Quốc lộ 5B,,Huyện Gia Lâm,25.0,1.3,,52.0
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,46.0,2.4,1.0,52.17391304347826
Masteri Water Front,,,1.0,,Đường Quốc Lộ 5B,Xã Đa Tốn,Huyện Gia Lâm,28.0,2.1,1.0,75.0
The London - Vinhomes Ocean Park,,,1.0,,Đường Lý Thánh Tông,Xã Dương Xá,Huyện Gia Lâm,43.0,3.0,1.0,69.76744186046511
The Pavilion - Vinhomes Ocean Park,,,1.0,,Đường Lý Thánh Tông,Xã Dương Xá,Huyện Gia Lâm,52.0,2.45,1.0,47.11538461538461
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,48.0,2.37,1.0,49.375
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,47.0,2.2,1.0,46.808510638297875
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,31.0,1.65,1.0,53.225806451612904
The London - Vinhomes Ocean Park,,,1.0,,Đường Lý Thánh Tông,Xã Dương Xá,Huyện Gia Lâm,43.0,2.67,1.0,62.093023255813954
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,42.0,2.2,1.0,52.38095238095238
Masteri Water Front,,,1.0,,Đường Quốc Lộ 5B,Xã Đa Tốn,Huyện Gia Lâm,30.0,1.78,1.0,59.333333333333336
The Zurich - Vinhomes Ocean Park,,,1.0,,,Xã Đa Tốn,Huyện Gia Lâm,40.0,2.45,1.0,61.25
Vinhomes Ocean Park Gia Lâm,Đông Bắc,,1.0,27.0,Đường 5 Xã Đa Tốn,,Huyện Gia Lâm,43.0,2.28,1.0,53.02325581395349
The Pavilion - Vinhomes Ocean Park,,,1.0,,,,Huyện Gia Lâm,28.0,1.65,1.0,58.92857142857143
The Beverly - Vinhomes Ocean Park,,,1.0,,,Xã Đa Tốn,Huyện Gia Lâm,32.0,1.94,1.0,60.625
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,43.0,2.6,1.0,60.46511627906977
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,43.0,2.92,,67.90697674418605
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,37.0,1.7,1.0,45.945945945945944
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,47.0,2.22,1.0,47.234042553191486
The London - Vinhomes Ocean Park,,,1.0,,Đường Lý Thánh Tông,Xã Dương Xá,Huyện Gia Lâm,33.0,2.2,1.0,66.66666666666667
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,47.0,2.19,1.0,46.59574468085106
Masteri Water Front,,,1.0,,,,Huyện Gia Lâm,33.0,2.55,1.0,77.27272727272727
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,47.0,2.15,1.0,45.744680851063826
The Pavilion - Vinhomes Ocean Park,,,1.0,,Đường Lý Thánh Tông,Xã Dương Xá,Huyện Gia Lâm,31.0,1.68,1.0,54.193548387096776
Masteri Water Front,Đông,,1.0,,Đường Quốc Lộ 5B,Xã Đa Tốn,Huyện Gia Lâm,30.0,2.1,1.0,70.0
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,33.0,1.5,1.0,45.45454545454545
The London - Vinhomes Ocean Park,,,1.0,,,,Huyện Gia Lâm,44.0,2.78,1.0,63.18181818181818
Chung cư The Senique Hanoi,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,42.0,2.86,,68.0952380952381
The Zurich - Vinhomes Ocean Park,,,1.0,,,Xã Đa Tốn,Huyện Gia Lâm,40.0,2.45,1.0,61.25
Vinhomes Ocean Park Gia Lâm,,,1.0,,Đường Lý Thánh Tông,Xã Dương Xá,Huyện Gia Lâm,45.0,2.7,1.0,60.0
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Đa Tốn,Huyện Gia Lâm,43.0,2.55,1.0,59.30232558139535
Vinhomes Ocean Park Gia Lâm,,,1.0,,Đường 5,Xã Dương Xá,Huyện Gia Lâm,47.0,2.2,1.0,46.808510638297875
Vinhomes Ocean Park Gia Lâm,,,1.0,,Đường 5,Xã Dương Xá,Huyện Gia Lâm,37.0,1.63,1.0,44.054054054054056
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,43.0,2.32,1.0,53.95348837209303
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,47.0,2.2,1.0,46.808510638297875
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,28.0,1.6,1.0,57.142857142857146
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,30.0,1.6,1.0,53.333333333333336
The Zenpark,,,1.0,,Đường Đông Dư,Xã Dương Xá,Huyện Gia Lâm,55.0,2.6,1.0,47.27272727272727
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,47.0,2.2,1.0,46.808510638297875
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,33.0,1.6,,48.484848484848484
The Beverly - Vinhomes Ocean Park,,,1.0,,,,Huyện Gia Lâm,48.0,2.99,1.0,62.291666666666664
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,30.0,1.35,1.0,45.0
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,37.0,1.68,1.0,45.4054054054054
The Zenpark,,,1.0,,,,Huyện Gia Lâm,45.0,2.6,1.0,57.77777777777778
The Pavilion - Vinhomes Ocean Park,,,1.0,,Đường Lý Thánh Tông,Xã Dương Xá,Huyện Gia Lâm,43.0,1.94,1.0,45.116279069767444
The Zenpark,,,1.0,,,,Huyện Gia Lâm,53.0,2.93,1.0,55.283018867924525
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,31.0,1.6,1.0,51.61290322580645
The Beverly - Vinhomes Ocean Park,,,1.0,,,Xã Đa Tốn,Huyện Gia Lâm,43.0,2.59,1.0,60.23255813953488
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,43.0,2.36,1.0,54.883720930232556
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,29.0,1.85,1.0,63.793103448275865
The Zenpark,,,1.0,,Đường Lý Thánh Tông,,Huyện Gia Lâm,50.0,3.1,1.0,62.0
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,31.0,1.71,1.0,55.16129032258065
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,33.0,1.6,1.0,48.484848484848484
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,43.0,2.2,1.0,51.16279069767442
The Pavilion - Vinhomes Ocean Park,,,1.0,,Đường Lý Thánh Tông,Xã Dương Xá,Huyện Gia Lâm,33.0,1.85,1.0,56.06060606060606
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,33.0,1.7,1.0,51.515151515151516
The Beverly - Vinhomes Ocean Park,,,1.0,,,Xã Đa Tốn,Huyện Gia Lâm,43.0,2.7,1.0,62.7906976744186
Vinhomes Ocean Park Gia Lâm,Nam,,1.0,,Đường Đông Dư,Xã Dương Xá,Huyện Gia Lâm,41.0,2.6,1.0,63.41463414634146
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,43.0,2.37,1.0,55.116279069767444
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,43.0,2.1,1.0,48.83720930232558
Vinhomes Ocean Park Gia Lâm,,,1.0,,Đường Quốc Lộ 5B,Xã Dương Xá,Huyện Gia Lâm,43.0,2.45,1.0,56.97674418604651
The Beverly - Vinhomes Ocean Park,,,1.0,,,Xã Đa Tốn,Huyện Gia Lâm,43.0,2.3,1.0,53.48837209302326
The Beverly - Vinhomes Ocean Park,,,1.0,,,Xã Đa Tốn,Huyện Gia Lâm,30.0,1.58,1.0,52.666666666666664
Chung cư The Senique Hanoi,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,42.0,2.86,1.0,68.0952380952381
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,46.0,2.1,1.0,45.65217391304348
Vinhomes Ocean Park Gia Lâm,,,1.0,,Đường 5A,Xã Dương Xá,Huyện Gia Lâm,36.0,1.0,1.0,27.77777777777778
Chung cư The Senique Hanoi,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,45.0,3.1,1.0,68.88888888888889
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,45.0,3.11,1.0,69.11111111111111
The Zenpark,,,1.0,,Đường Đông Dư,Xã Dương Xá,Huyện Gia Lâm,45.0,2.3,1.0,51.111111111111114
The Zenpark,,,1.0,,Đường Lý Thánh Tông,Xã Dương Xá,Huyện Gia Lâm,27.0,1.5,1.0,55.55555555555556
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,37.0,1.7,1.0,45.945945945945944
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,47.0,2.16,1.0,45.95744680851064
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,31.0,1.65,1.0,53.225806451612904
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,38.0,1.75,,46.05263157894737
The Pavilion - Vinhomes Ocean Park,,,1.0,,Đường Lý Thánh Tông,Xã Dương Xá,Huyện Gia Lâm,28.0,1.85,1.0,66.07142857142857
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,47.0,2.2,1.0,46.808510638297875
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,47.0,2.2,1.0,46.808510638297875
Vinhomes Ocean Park Gia Lâm,,,1.0,,Đường Ngọc Trai,Xã Dương Xá,Huyện Gia Lâm,43.0,2.4,1.0,55.81395348837209
Đặng Xá 1,,,1.0,,Đường 5,Xã Đặng Xá,Huyện Gia Lâm,36.0,1.53,1.0,42.5
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,31.0,1.6,1.0,51.61290322580645
The London - Vinhomes Ocean Park,Đông,,1.0,,,,Huyện Gia Lâm,33.0,2.22,1.0,67.27272727272727
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,47.0,2.2,1.0,46.808510638297875
The Zenpark,,,1.0,,Đường Đông Dư,Xã Dương Xá,Huyện Gia Lâm,55.0,2.5,1.0,45.45454545454545
The London - Vinhomes Ocean Park,,,1.0,,,,Huyện Gia Lâm,43.0,2.72,1.0,63.25581395348837
Vinhomes Ocean Park Gia Lâm,,,1.0,,Đường Lý Thánh Tông,Xã Dương Xá,Huyện Gia Lâm,28.0,1.85,1.0,66.07142857142857
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Đa Tốn,Huyện Gia Lâm,36.0,1.6,1.0,44.44444444444444
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,43.0,2.37,1.0,55.116279069767444
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,47.0,2.2,1.0,46.808510638297875
Vinhomes Ocean Park Gia Lâm,Tây,,1.0,,,,Huyện Gia Lâm,52.0,2.93,1.0,56.34615384615385
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,31.0,1.65,1.0,53.225806451612904
Masteri Water Front,,,1.0,,Đường Quốc Lộ 5B,Xã Đa Tốn,Huyện Gia Lâm,32.0,2.2,1.0,68.75
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,46.0,2.2,1.0,47.82608695652174
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,47.0,2.98,1.0,63.40425531914894
Chung cư The Senique Hanoi,,,1.0,,,,Huyện Gia Lâm,42.0,2.86,1.0,68.0952380952381
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,53.0,2.98,1.0,56.22641509433962
Chung cư The Senique Hanoi,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,42.0,2.8,1.0,66.66666666666667
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,43.0,2.35,,54.651162790697676
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,47.0,2.2,1.0,46.808510638297875
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,30.0,1.65,1.0,55.0
Vinhomes Ocean Park Gia Lâm,Bắc,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,33.0,1.6,1.0,48.484848484848484
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,43.0,2.1,1.0,48.83720930232558
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,38.0,2.1,1.0,55.26315789473684
Chung cư The Senique Hanoi,,,1.0,,,,Huyện Gia Lâm,42.0,3.2,1.0,76.19047619047619
Chung cư The Senique Hanoi,,,1.0,,,,Huyện Gia Lâm,42.0,3.2,1.0,76.19047619047619
The Zenpark,,,1.0,,,,Huyện Gia Lâm,52.0,2.93,1.0,56.34615384615385
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,38.0,2.1,1.0,55.26315789473684
Vinhomes Ocean Park Gia Lâm,,,1.0,,Đường Ngọc Trai 6,Xã Dương Xá,Huyện Gia Lâm,43.0,2.2,1.0,51.16279069767442
The Beverly - Vinhomes Ocean Park,,,1.0,,,Xã Đa Tốn,Huyện Gia Lâm,32.0,1.85,1.0,57.8125
Chung cư The Senique Hanoi,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,42.0,2.87,1.0,68.33333333333333
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,47.0,2.2,1.0,46.808510638297875
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,31.0,1.69,1.0,54.516129032258064
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,36.0,1.85,1.0,51.388888888888886
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,46.0,2.15,1.0,46.73913043478261
The Pavilion - Vinhomes Ocean Park,,,1.0,,Đường Lý Thánh Tông,Xã Dương Xá,Huyện Gia Lâm,47.0,2.5,1.0,53.191489361702125
Vinhomes Ocean Park Gia Lâm,,,1.0,,Đường 5,Xã Dương Xá,Huyện Gia Lâm,31.0,1.45,1.0,46.774193548387096
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,31.0,1.6,1.0,51.61290322580645
Vinhomes Ocean Park Gia Lâm,,,1.0,,Đường 5,Xã Dương Xá,Huyện Gia Lâm,47.0,2.1,1.0,44.680851063829785
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,56.0,3.05,1.0,54.464285714285715
The London - Vinhomes Ocean Park,,,1.0,,,,Huyện Gia Lâm,46.0,3.0,1.0,65.21739130434783
The Zenpark,,,1.0,,Đường Đông Dư,Xã Dương Xá,Huyện Gia Lâm,45.0,2.0,1.0,44.44444444444444
The Zurich - Vinhomes Ocean Park,,,1.0,,,,Huyện Gia Lâm,36.0,1.95,1.0,54.166666666666664
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,29.0,1.8,1.0,62.06896551724138
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,28.0,1.78,1.0,63.57142857142857
Masteri Water Front,,,1.0,,Đường Quốc Lộ 5B,Xã Đa Tốn,Huyện Gia Lâm,61.0,4.3,1.0,70.49180327868852
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,28.0,1.78,1.0,63.57142857142857
Masteri Water Front,,,1.0,,Đường Quốc Lộ 5B,Xã Đa Tốn,Huyện Gia Lâm,61.0,4.3,1.0,70.49180327868852
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,46.0,2.28,1.0,49.56521739130435
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,37.0,1.65,1.0,44.5945945945946
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,43.0,2.3,1.0,53.48837209302326
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,43.0,2.35,1.0,54.651162790697676
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,43.0,2.37,1.0,55.116279069767444
The Beverly - Vinhomes Ocean Park,,,1.0,,,Xã Đa Tốn,Huyện Gia Lâm,33.0,1.98,,60.0
Vinhomes Ocean Park Gia Lâm,Đông,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,48.0,2.5,1.0,52.083333333333336
Masteri Water Front,,,1.0,,Đường Quốc Lộ 5B,Xã Đa Tốn,Huyện Gia Lâm,47.0,3.15,,67.02127659574468
The Zenpark,,,1.0,,Đường Đông Dư,Xã Dương Xá,Huyện Gia Lâm,29.0,1.8,1.0,62.06896551724138
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,35.0,2.19,1.0,62.57142857142857
The Zenpark,,,1.0,,Đường Đông Dư,Xã Dương Xá,Huyện Gia Lâm,44.0,2.62,,59.54545454545455
The Zenpark,,,1.0,,,,Huyện Gia Lâm,42.0,2.6,1.0,61.904761904761905
The Zenpark,,,1.0,,Đường Đông Dư,Xã Dương Xá,Huyện Gia Lâm,29.0,1.8,1.0,62.06896551724138
The Zenpark,,,1.0,,Đường Đông Dư,Xã Dương Xá,Huyện Gia Lâm,29.0,1.85,1.0,63.793103448275865
The Zenpark,,,1.0,,Đường Đông Dư,Xã Dương Xá,Huyện Gia Lâm,29.0,1.9,1.0,65.51724137931035
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,37.0,1.62,1.0,43.78378378378378
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,36.0,1.86,1.0,51.666666666666664
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,32.0,1.5,,46.875
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,43.0,2.4,1.0,55.81395348837209
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,42.0,3.15,1.0,75.0
The London - Vinhomes Ocean Park,,,1.0,,Đường Lý Thánh Tông,Xã Dương Xá,Huyện Gia Lâm,43.0,2.9,1.0,67.44186046511628
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,49.0,2.96,1.0,60.40816326530612
The London - Vinhomes Ocean Park,,,1.0,,,,Huyện Gia Lâm,48.0,3.12,1.0,65.0
Masteri Water Front,,,1.0,,,,Huyện Gia Lâm,35.0,2.6,1.0,74.28571428571429
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,43.0,2.45,2.0,56.97674418604651
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,47.0,2.35,1.0,50.0
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,47.0,2.43,1.0,51.702127659574465
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,43.0,2.4,1.0,55.81395348837209
The Zenpark,,,1.0,,,,Huyện Gia Lâm,45.0,2.61,1.0,58.0
The Zenpark,,,1.0,,,,Huyện Gia Lâm,53.0,2.93,1.0,55.283018867924525
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,52.0,2.9,1.0,55.76923076923077
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,42.0,2.86,,68.0952380952381
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,43.0,2.26,1.0,52.55813953488372
The Zurich - Vinhomes Ocean Park,,,1.0,,,Xã Đa Tốn,Huyện Gia Lâm,48.0,2.5,1.0,52.083333333333336
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,35.0,1.7,1.0,48.57142857142857
Vinhomes Ocean Park Gia Lâm,,,1.0,,,,Huyện Gia Lâm,42.0,2.86,,68.0952380952381
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,30.0,1.6,1.0,53.333333333333336
