duAn,huong,phapLy,noBed,soLau,Street,Precinct,District,acreage_value,price_value,noBathroom
Đường Vĩnh Phúc,Đông,Giấy chứng nhận quyền sở hữu đất,2.0,8.0,Đường Vĩnh Phúc,Phường Vĩnh Phúc,Quận Ba Đình,55.0,0.8,
Nhà ở xã hội Rice City Tây Nam Linh Đàm,,Giấy chứng nhận quyền sở hữu đất,,,Đường Linh Đàm,,Quận Hoàng Mai,70.0,4.3,
Đường Đông Tác,Nam,Giấy chứng nhận quyền sở hữu đất,2.0,7.0,Đường Đông Tác,Phường Kim Liên,Quận Đống Đa,46.0,0.6,
Đường Mễ Trì Hạ,Tây,,2.0,7.0,Đường Mễ Trì Hạ,Phường Mễ Trì,Quận Nam Từ Liêm,38.0,0.6,
Rainbow Linh Đàm,,Giấy chứng nhận quyền sở hữu đất,,,Đường Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,89.0,5.3,
Phường Thượng Đình,,,,,,,Quận Thanh Xuân,60.0,2.2,
Tòa nhà Licogi 12,,Giấy chứng nhận quyền sở hữu đất,,,,,Quận Hoàng Mai,110.0,5.5,
Đường Đại lộ Thăng Long,,Giấy chứng nhận quyền sở hữu đất,2.0,,Đường Đại lộ Thăng Long,Phường Tây Mỗ,Quận Nam Từ Liêm,64.0,3.0,
Nhà ở xã hội Rice City Tây Nam Linh Đàm,,Giấy chứng nhận quyền sở hữu đất,,,Đường Linh Đàm,,Quận Hoàng Mai,63.0,3.75,
Đường Đại lộ Thăng Long,,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại lộ Thăng Long,Phường Tây Mỗ,Quận Nam Từ Liêm,64.0,3.0,
Vinhomes Smart City,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,2.0,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,71.0,5.15,
Vinhomes Ocean Park,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,,Xã Dương Xá,Huyện Gia Lâm,58.0,3.0,
Vinhomes Ocean Park,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,,Xã Dương Xá,Huyện Gia Lâm,58.0,3.05,
VP3 Linh Đàm,,,,,Đường Nguyễn Duy Trinh,Phường Hoàng Liệt,Quận Hoàng Mai,76.0,4.35,
VP3 Linh Đàm,,Giấy chứng nhận quyền sở hữu đất,,,Đường Nguyễn Duy Trinh,Phường Hoàng Liệt,Quận Hoàng Mai,83.0,4.7,
Vinhomes Ocean Park,,,,,,Xã Dương Xá,Huyện Gia Lâm,54.0,2.8,
Vinhomes Ocean Park,Tây Bắc,Giấy chứng nhận quyền sở hữu đất,,,,Xã Dương Xá,Huyện Gia Lâm,30.0,1.62,
Vinhomes Ocean Park,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,,Xã Dương Xá,Huyện Gia Lâm,33.0,1.62,
Phường Giang Biên,Nam,Giấy chứng nhận quyền sở hữu đất,,,,,Quận Long Biên,73.0,3.6,
HC Golden City,Đông Nam,Giấy tờ hợp lệ,,,Đường Bồ Đề,Phường Bồ Đề,Quận Long Biên,120.0,8.05,
Eco City Việt Hưng,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,,Phường Giang Biên,Quận Long Biên,80.0,4.2,
Phố Xã Đàn,,Giấy chứng nhận quyền sở hữu đất,,,Phố Xã Đàn,Phường Phương Liên,Quận Đống Đa,31.0,0.69,
Phố Bạch Mai,,Giấy chứng nhận quyền sở hữu đất,,,Phố Bạch Mai,Phường Bạch Mai,Quận Hai Bà Trưng,25.0,0.8,
Phố Xã Đàn,,Giấy tờ hợp lệ,,,Phố Xã Đàn,Phường Phương Liên,Quận Đống Đa,25.0,0.8,
Đường Vĩnh Phúc,Tây,,2.0,7.0,Đường Vĩnh Phúc,Phường Vĩnh Phúc,Quận Ba Đình,33.0,0.62,
Phố Hồng Mai,Nam,,2.0,6.0,Phố Hồng Mai,Phường Quỳnh Lôi,Quận Hai Bà Trưng,46.0,0.55,
Đường Phan Đình Giót,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Phan Đình Giót,Phường Phương Liệt,Quận Thanh Xuân,55.0,0.6,
Đường Giải Phóng,Nam,,1.0,6.0,Đường Giải Phóng,Phường Tương Mai,Quận Hoàng Mai,40.0,0.6,
Đường Hồ Ba Mẫu,Tây,Giấy chứng nhận quyền sở hữu đất,,,Đường Hồ Ba Mẫu,Phường Phương Liên,Quận Đống Đa,35.0,0.6,
Đường Trung Phụng,Nam,Giấy chứng nhận quyền sở hữu đất,1.0,6.0,Đường Trung Phụng,Phường Khâm Thiên,Quận Đống Đa,40.0,0.6,
Phố Chùa Bộc,Tây,Giấy chứng nhận quyền sở hữu đất,2.0,6.0,Phố Chùa Bộc,Phường Quang Trung,Quận Đống Đa,36.0,0.5555,
Đường Nguyễn Trãi,,,,,Đường Nguyễn Trãi,Phường Nhân Chính,Quận Thanh Xuân,35.0,0.75,
Đường Trích Sài,,,,,Đường Trích Sài,Phường Thụy Khuê,Quận Tây Hồ,35.0,0.78,
Quận Hoàng Mai,,Giấy chứng nhận quyền sở hữu đất,,,,,Quận Hoàng Mai,35.0,0.7,
Đường Đội Cấn,,,1.0,,Đường Đội Cấn,Phường Kim Mã,Quận Ba Đình,45.0,0.6,
Đường Hồ Ba Mẫu,,,,,Đường Hồ Ba Mẫu,,Quận Đống Đa,34.0,0.65,
Vinhomes Smart City,,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,43.0,2.9,
Vinhomes Smart City,,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,30.0,2.1,
Vinhomes Ocean Park,Tây Nam,Giấy chứng nhận quyền sở hữu đất,,,,Xã Dương Xá,Huyện Gia Lâm,63.0,3.0,
Đường Phúc La,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Phúc La,Phường Phúc La,Quận Hà Đông,67.0,2.9,
Đường Trần Khát Chân,,,,,Đường Trần Khát Chân,Phường Thanh Nhàn,Quận Hai Bà Trưng,32.0,0.79,
Phường Phúc La,Đông Nam,,,,,,Quận Hà Đông,67.0,2.9,
Vinhomes Smart City,Tây Nam,,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,64.0,4.2,
Đường Hồ Tùng Mậu,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Hồ Tùng Mậu,Phường Phú Diễn,Quận Bắc Từ Liêm,94.0,7.0,
Nhà ở xã hội Rice City Tây Nam Linh Đàm,,,,,Đường Linh Đàm,,Quận Hoàng Mai,68.0,3.95,
Vinhomes Smart City,,,2.0,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,64.0,3.98,
Khai Sơn Town,,,,,Đường Ngọc Thụy,Phường Ngọc Thụy,Quận Long Biên,77.0,4.95,
Khai Sơn Town,,,2.0,21.0,Đường Ngọc Thụy,Phường Ngọc Thụy,Quận Long Biên,77.0,4.9,
B1-B2 Tây Nam Linh Đàm,,Giấy chứng nhận quyền sở hữu đất,,,,Phường Hoàng Liệt,Quận Hoàng Mai,65.0,4.0,
Vinhomes Ocean Park,Tây Nam,Giấy chứng nhận quyền sở hữu đất,,,,Xã Dương Xá,Huyện Gia Lâm,63.0,2.9,
Đường Hàng Bột,,,,,Đường Hàng Bột,Phường Hàng Bột,Quận Đống Đa,40.0,1.38,
Vinhomes Smart City,Tây Bắc,,2.0,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,63.0,4.28,
Xuân Mai Complex,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Tố Hữu,Phường La Khê,Quận Hà Đông,81.0,3.97,
Vinhomes Smart City,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2.0,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,54.0,3.0,
Vinhomes Smart City,,,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,75.0,4.8,
Vinhomes Smart City,Tây Bắc,Giấy chứng nhận quyền sở hữu đất,1.0,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,43.0,3.03,
Đường Vọng Đức,,Giấy chứng nhận quyền sở hữu đất,,,Đường Vọng Đức,Phường Hàng Bài,Quận Hoàn Kiếm,71.0,4.7,
Nam Xa La,,,,,Đường Xa La,Phường Phúc La,Quận Hà Đông,84.0,3.69,
Đường Đại lộ Thăng Long,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại lộ Thăng Long,Phường Tây Mỗ,Quận Nam Từ Liêm,25.0,2.04,
Đường Đại lộ Thăng Long,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại lộ Thăng Long,Phường Tây Mỗ,Quận Nam Từ Liêm,54.0,3.76,
Vinhomes Ocean Park,,,,,,Xã Dương Xá,Huyện Gia Lâm,50.0,2.39,
Quận Hoàng Mai,,,1.0,,,,Quận Hoàng Mai,35.0,0.55,
Đường 32,,,,,Đường 32,,Quận Cầu Giấy,139.0,7.0,
Vinhomes Smart City,,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,54.0,2.88,
Đường Phạm Hùng,,Giấy chứng nhận quyền sở hữu đất,,,Đường Phạm Hùng,Phường Mỹ Đình 1,Quận Nam Từ Liêm,124.0,6.1,
Vinhomes Smart City,Tây Bắc,,2.0,19.0,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,55.0,3.6,
Vinhomes Smart City,Tây Bắc,,3.0,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,81.0,5.55,
Vinhomes Smart City,,,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,54.0,3.5,
Vinhomes Smart City,,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,63.0,4.2,
Vinhomes Smart City,,,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,54.0,3.3,
Vinhomes Cổ Loa,,,,,,Xã Cổ Loa,Huyện Đông Anh,31.0,3.0,
FLC Star Tower,,Giấy chứng nhận quyền sở hữu đất,,,Đường Quang Trung,Phường Quang Trung,Quận Hà Đông,80.0,4.02,
Vinhomes Ocean Park,,Giấy tờ hợp lệ,,,,Xã Dương Xá,Huyện Gia Lâm,52.0,2.45,
Đường Lý Thánh Tông,Tây Bắc,,,,Đường Lý Thánh Tông,Xã Dương Xá,Huyện Gia Lâm,26.6,1.95,
Vinhomes Smart City,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,63.0,4.0,
Tòa nhà Licogi 12,,,,,,,Quận Hoàng Mai,110.0,5.5,
Xã Dương Xá,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,,,Huyện Gia Lâm,65.0,3.0,
Đường Vĩnh Phúc,,Giấy chứng nhận quyền sở hữu đất,2.0,6.0,Đường Vĩnh Phúc,Phường Vĩnh Phúc,Quận Ba Đình,50.0,0.7,
Phố Hoàng Cầu,,Giấy chứng nhận quyền sở hữu đất,,,Phố Hoàng Cầu,Phường Ô Chợ Dừa,Quận Đống Đa,55.0,0.65,
Phố Lò Đúc,,Giấy chứng nhận quyền sở hữu đất,,,Phố Lò Đúc,Phường Đống Mác,Quận Hai Bà Trưng,52.0,0.72,
Đường Kim Đồng,,Giấy chứng nhận quyền sở hữu đất,,,Đường Kim Đồng,Phường Giáp Bát,Quận Hoàng Mai,55.0,0.75,
Phố Xã Đàn,,Giấy chứng nhận quyền sở hữu đất,2.0,6.0,Phố Xã Đàn,Phường Ô Chợ Dừa,Quận Đống Đa,50.0,0.65,
Đường Phan Đình Giót,,Giấy chứng nhận quyền sở hữu đất,,,Đường Phan Đình Giót,Phường Phương Liệt,Quận Thanh Xuân,56.0,0.8,
Vinhomes Smart City,Tây Bắc,Giấy chứng nhận quyền sở hữu đất,1.0,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,43.0,3.35,
Vinhomes Smart City,Tây Nam,Giấy chứng nhận quyền sở hữu đất,2.0,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,55.0,3.85,
Đường Lý Thánh Tông,Đông Nam,,,,Đường Lý Thánh Tông,Xã Dương Xá,Huyện Gia Lâm,50.0,3.2,
Đường Lý Thánh Tông,Đông Nam,,,,Đường Lý Thánh Tông,Xã Dương Xá,Huyện Gia Lâm,76.7,4.5,
Vinhomes Smart City,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,55.0,3.5,
Bắc Hà Tower C37 Bộ Công An,,Giấy chứng nhận quyền sở hữu đất,,,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm,124.0,6.64,
Vinhomes Smart City,,,2.0,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,64.0,4.6,
Vinhomes Smart City,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,2.0,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,55.0,3.58,
Iris Garden,Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Trần Hữu Dực,Phường Mỹ Đình 1,Quận Nam Từ Liêm,135.0,7.8,
Iris Garden,Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Trần Hữu Dực,Phường Mỹ Đình 1,Quận Nam Từ Liêm,62.0,4.5,
Iris Garden,Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Trần Hữu Dực,Phường Mỹ Đình 1,Quận Nam Từ Liêm,135.0,7.8,
Vinhomes Smart City,,,1.0,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,32.0,2.16,
Vinhomes Smart City,Tây Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,54.0,3.48,
Imperia Smart City,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại lộ Thăng Long,Phường Tây Mỗ,Quận Nam Từ Liêm,43.0,3.22,
Đường Đại lộ Thăng Long,Tây Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại lộ Thăng Long,Phường Tây Mỗ,Quận Nam Từ Liêm,54.0,3.72,
Vinhomes Ocean Park,Đông Nam,Giấy tờ hợp lệ,,,,Xã Dương Xá,Huyện Gia Lâm,29.0,1.9,
VP5 Linh Đàm,,,,,Đường Nguyễn Duy Trinh,Phường Hoàng Liệt,Quận Hoàng Mai,73.0,3.89,
Goldmark City,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,Đường Hồ Tùng Mậu,Phường Phú Diễn,Quận Bắc Từ Liêm,104.0,6.6,
Vinhomes Smart City,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,103.0,6.2,
Vinhomes Smart City,,,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,90.0,4.92,
Quận Hoàng Mai,,,1.0,,,,Quận Hoàng Mai,30.0,0.6,
Đường Phạm Ngọc Thạch,,,,,Đường Phạm Ngọc Thạch,,Quận Đống Đa,30.0,0.65,
Đường Thanh Nhàn,Đông,Giấy chứng nhận quyền sở hữu đất,2.0,8.0,Đường Thanh Nhàn,Phường Thanh Nhàn,Quận Hai Bà Trưng,53.0,0.8,
Phố Khâm Thiên,Tây Nam,Giấy chứng nhận quyền sở hữu đất,2.0,8.0,Phố Khâm Thiên,Phường Ô Chợ Dừa,Quận Đống Đa,53.0,0.8,
Đường Phan Đình Giót,Đông,Giấy chứng nhận quyền sở hữu đất,2.0,8.0,Đường Phan Đình Giót,Phường Phương Liệt,Quận Thanh Xuân,52.0,0.8,
Đường Giải Phóng,Đông,Giấy chứng nhận quyền sở hữu đất,,,Đường Giải Phóng,Phường Giáp Bát,Quận Hoàng Mai,53.0,0.8,
Vinhomes Smart City,Tây Bắc,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,28.0,1.95,
Golden Palace Mễ Trì,,Giấy chứng nhận quyền sở hữu đất,,,,Phường Mễ Trì,Quận Nam Từ Liêm,142.0,8.38,
The Emerald CT8 Mỹ Đình,,Giấy chứng nhận quyền sở hữu đất,,,Đường Đình Thôn,Phường Mỹ Đình 1,Quận Nam Từ Liêm,104.0,8.0,
Parkview Residence,,,,,Đường Tố Hữu,Phường Dương Nội,Quận Hà Đông,54.0,3.25,
Đường Tố Hữu,,,3.0,12.0,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm,117.0,7.1,
B1-B2 Tây Nam Linh Đàm,,,,,,Phường Hoàng Liệt,Quận Hoàng Mai,70.0,4.13,
The Two Residence,Tây Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Pháp Vân,Phường Yên Sở,Quận Hoàng Mai,79.0,5.05,
Vinhomes Ocean Park,,,,,,Xã Dương Xá,Huyện Gia Lâm,60.0,2.55,
Vinhomes Ocean Park,,,,,,Xã Dương Xá,Huyện Gia Lâm,47.0,2.1,
The One Residence,Nam,,,,Đường Pháp Vân,Phường Yên Sở,Quận Hoàng Mai,65.0,3.9,
The One Residence,Nam,,,,Đường Pháp Vân,Phường Yên Sở,Quận Hoàng Mai,65.0,3.9,
Vinhomes Smart City,Đông Nam,,2.0,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,60.0,4.85,
Imperia Smart City,,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại lộ Thăng Long,Phường Tây Mỗ,Quận Nam Từ Liêm,54.0,3.58,
Vinhomes Smart City,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,43.0,2.88,
Vinhomes Smart City,,,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,55.0,3.23,
Vinhomes Ocean Park,,,,,,Xã Dương Xá,Huyện Gia Lâm,85.0,5.0,
Vinhomes Ocean Park,,,2.0,,,Xã Dương Xá,Huyện Gia Lâm,60.0,2.5,
Goldmark City,,,,,Đường Hồ Tùng Mậu,Phường Phú Diễn,Quận Bắc Từ Liêm,74.0,4.85,
Vinhomes Smart City,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,2.0,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,55.0,3.7,
Vinhomes Smart City,Đông Bắc,Giấy tờ hợp lệ,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,28.0,2.05,
Đường Giang Văn Minh,,,1.0,,Đường Giang Văn Minh,,Quận Ba Đình,35.0,0.55,
Vinhomes Ocean Park,Tây Nam,,,,,Xã Dương Xá,Huyện Gia Lâm,46.0,2.23,
Quận Đống Đa,,Giấy chứng nhận quyền sở hữu đất,,,,,Quận Đống Đa,25.0,0.6,
Vinhomes Ocean Park,Tây Nam,Giấy chứng nhận quyền sở hữu đất,,,,Xã Dương Xá,Huyện Gia Lâm,55.0,2.7,
Vinhomes Ocean Park,Đông Bắc,Giấy tờ hợp lệ,,,,Xã Dương Xá,Huyện Gia Lâm,37.0,2.5,
Green Stars,,,3.0,,Đường Phạm Văn Đồng,Phường Xuân Đỉnh,Quận Bắc Từ Liêm,102.0,6.5,
Huyện Gia Lâm,Đông Nam,Giấy tờ hợp lệ,,,,,Huyện Gia Lâm,30.0,1.85,
Grand SunLake Văn Quán,Đông Nam,,,,Đường Trần Phú,Phường Văn Quán,Quận Hà Đông,70.0,2.3,
Grand SunLake Văn Quán,,,,,Đường Trần Phú,Phường Văn Quán,Quận Hà Đông,70.0,2.6,
Khu đô thị Thanh Hà Cienco 5,Tây Nam,Giấy tờ hợp lệ,,,Đường Nam Hy Hoàng Phong,Phường Kiến Hưng,Quận Hà Đông,76.0,2.1,
Đường Hồ Ba Mẫu,,,1.0,7.0,Đường Hồ Ba Mẫu,Phường Cát Linh,Quận Đống Đa,45.0,0.6,
Golden Palace Mễ Trì,,Giấy chứng nhận quyền sở hữu đất,,,,Phường Mễ Trì,Quận Nam Từ Liêm,128.0,7.0,
Quận Thanh Xuân,,Giấy chứng nhận quyền sở hữu đất,,,,,Quận Thanh Xuân,30.0,0.7,
Samsora Premier 105,,,,,Đường Chu Văn An,Phường Yết Kiêu,Quận Hà Đông,81.9,4.3,
Phường Đông Ngạc,Bắc,,,,,,Quận Bắc Từ Liêm,89.0,7.4,
Quận Đống Đa,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,,,Quận Đống Đa,38.0,2.6,
Grand SunLake Văn Quán,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Trần Phú,Phường Văn Quán,Quận Hà Đông,75.0,2.4,
Momota,Tây Nam,,4.0,,Đường Nguyễn Đức Cảnh,Phường Tương Mai,Quận Hoàng Mai,134.0,6.2,
