duAn,huong,phapLy,noBed,soLau,Street,Precinct,District,City,acreage_value,acreage_unit,price_value,price_unit,noBathroom
B1-B2 Tây Nam Linh Đàm,,Giấy chứng nhận quyền sở hữu đất,,,,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,65.0,m2,4.0,tỷ,
Iris Garden,,,,,Đường Trần Hữu Dực,Phường Mỹ Đình 1,Quận Nam Từ Liêm,Hà Nội,135.0,m2,,tỷ,
The Zei Mỹ Đình,Đông,,,,Đường Lê Đức Thọ,Phường Mỹ Đình 2,Quận Nam Từ Liêm,Hà Nội,93.0,m2,,tỷ,
The Nine Tower,,,,,Đường Phạm Văn Đồng,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,144.0,m2,,tỷ,
Cầu Giấy Center Point,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Cầu Giấy,Phường Quan Hoa,Quận Cầu Giấy,Hà Nội,127.0,m2,,tỷ,
Khu đô thị Vinhomes Times City,,,,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,Hà Nội,128.0,m2,11.0,tỷ,
Vinhomes Ocean Park,Tây Nam,Giấy chứng nhận quyền sở hữu đất,,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,63.0,m2,2.9,tỷ,
Đường Hàng Bột,,,,,Đường Hàng Bột,Phường Hàng Bột,Quận Đống Đa,Hà Nội,40.0,m2,1.38,tỷ,
Vinhomes Smart City,Tây Bắc,,2,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,Hà Nội,63.0,m2,4.28,tỷ,
Xuân Mai Complex,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Tố Hữu,Phường La Khê,Quận Hà Đông,Hà Nội,81.0,m2,3.97,tỷ,
An Bình City,,Giấy chứng nhận quyền sở hữu đất,,,Đường Phạm Văn Đồng,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,Hà Nội,83.0,m2,,tỷ,
Vinhomes Smart City,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,Hà Nội,54.0,m2,3.0,tỷ,
Dreamland Bonanza,Đông Nam,,,,Đường Duy Tân,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,300.0,m2,,tỷ,
Sunshine Golden River,Tây Nam,Giấy chứng nhận quyền sở hữu đất,4,,Đường An Dương Vương,Phường Phú Thượng,Quận Tây Hồ,Hà Nội,350.0,m2,,tỷ,
Dreamland Bonanza,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,Đường Duy Tân,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,303.0,m2,,tỷ,
Sunshine Golden River,Tây Nam,Giấy chứng nhận quyền sở hữu đất,4,,Đường An Dương Vương,Phường Phú Thượng,Quận Tây Hồ,Hà Nội,350.5,m2,,tỷ,
Mulberry Lane,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,Đường Mỗ Lao,Phường Mỗ Lao,Quận Hà Đông,Hà Nội,485.0,m2,19.0,tỷ,
Mulberry Lane,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,Đường Mỗ Lao,Phường Mỗ Lao,Quận Hà Đông,Hà Nội,485.0,m2,,tỷ,
Hateco Laroma,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Huỳnh Thúc Kháng,Phường Láng Thượng,Quận Đống Đa,Hà Nội,160.0,m2,,tỷ,
Dreamland Bonanza,Tây Nam,Giấy tờ hợp lệ,,,Đường Duy Tân,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,300.0,m2,,tỷ,
Dreamland Bonanza,Tây Nam,,,,Đường Duy Tân,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,303.0,m2,,tỷ,
Mulberry Lane,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Mỗ Lao,Phường Mỗ Lao,Quận Hà Đông,Hà Nội,355.0,m2,20.0,tỷ,
Dreamland Bonanza,Tây Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Duy Tân,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,303.0,m2,,tỷ,
Sunshine Crystal River,Đông Bắc,,,,Đường Lạc Long Quân,Phường Phú Thượng,Quận Tây Hồ,Hà Nội,75.0,m2,,tỷ,
Dreamland Bonanza,Tây Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Duy Tân,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,303.0,m2,,tỷ,
Dreamland Bonanza,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,Đường Duy Tân,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,303.0,m2,,tỷ,
Dreamland Bonanza,Tây Nam,Giấy tờ hợp lệ,,,Đường Duy Tân,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,300.0,m2,,tỷ,
AZ Lâm Viên Complex,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,Đường Nguyễn Phong Sắc,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,255.0,m2,,tỷ,
Sunshine Crystal River,Đông Nam,Giấy tờ hợp lệ,,,Đường Lạc Long Quân,Phường Phú Thượng,Quận Tây Hồ,Hà Nội,83.0,m2,,tỷ,
AZ Lâm Viên Complex,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Nguyễn Phong Sắc,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,255.0,m2,,tỷ,
AZ Lâm Viên Complex,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,Đường Nguyễn Phong Sắc,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,255.0,m2,,tỷ,
Iris Garden,Tây Bắc,Giấy chứng nhận quyền sở hữu đất,,,Đường Trần Hữu Dực,Phường Mỹ Đình 1,Quận Nam Từ Liêm,Hà Nội,185.0,m2,,tỷ,
Vinhomes Smart City,,,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,Hà Nội,75.0,m2,4.8,tỷ,
Vinhomes Smart City,Tây Bắc,Giấy chứng nhận quyền sở hữu đất,1,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,Hà Nội,43.0,m2,3.03,tỷ,
Đường Vọng Đức,,Giấy chứng nhận quyền sở hữu đất,,,Đường Vọng Đức,Phường Hàng Bài,Quận Hoàn Kiếm,Hà Nội,71.0,m2,4.7,tỷ,
Vinhomes Ocean Park,,,,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,87.0,m2,,tỷ,
Nam Xa La,,,,,Đường Xa La,Phường Phúc La,Quận Hà Đông,Hà Nội,84.0,m2,3.69,tỷ,
Đường Đại lộ Thăng Long,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại lộ Thăng Long,Phường Tây Mỗ,Quận Nam Từ Liêm,Hà Nội,25.0,m2,2.04,tỷ,
Đường Đại lộ Thăng Long,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại lộ Thăng Long,Phường Tây Mỗ,Quận Nam Từ Liêm,Hà Nội,54.0,m2,3.76,tỷ,
Vinhomes Ocean Park,,,,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,50.0,m2,2.39,tỷ,
